Title,Price
Toyota Corolla  1982  for Sale,PKR 3.5 lacs
KIA Classic  2001 LX for Sale,PKR 3.4 lacs
Suzuki FX  1986  for Sale,PKR 3.1 lacs
Honda Civic  1988 EXi for Sale,PKR 3.7 lacs
Daihatsu Charade  1984  for Sale,PKR 2.95 lacs
Suzuki Bolan  1985  for Sale,PKR 2.8 lacs
Suzuki Mehran  2004 VX for Sale,PKR 3.95 lacs
Suzuki Khyber  1989 GA for Sale,PKR 2.65 lacs
Suzuki Margalla  1991  for Sale,PKR 3.95 lacs
Honda Accord  1984  for Sale,PKR 3.5 lacs
Suzuki FX  1985 GA for Sale,PKR 3.2 lacs
Suzuki Bolan  1982  for Sale,PKR 3.7 lacs
Suzuki Mehran  2001 VXR (CNG) for Sale,PKR 3.5 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.5 lacs
Suzuki Khyber  1989  for Sale,PKR 2.6 lacs
Suzuki Mehran  1990 VXR for Sale,PKR 3.55 lacs
Suzuki FX  1986 GA for Sale,PKR 2.6 lacs
Suzuki Mehran  1994 VX for Sale,PKR 3.6 lacs
Suzuki FX  1987 GA for Sale,PKR 3.1 lacs
Suzuki FX  1990  for Sale,PKR 2.85 lacs
Suzuki Margalla  1995 GL for Sale,PKR 3.5 lacs
Suzuki Margalla  1994  for Sale,PKR 3.8 lacs
Datsun 1000  1986  for Sale,PKR 3.5 lacs
Suzuki Khyber  1994  for Sale,PKR 4 lacs
Daihatsu Charade  1986 CX for Sale,PKR 3.5 lacs
Daihatsu Charade  1986 CS for Sale,PKR 2.6 lacs
Suzuki Mehran  1990  for Sale,PKR 4 lacs
Daihatsu Charade  1986  for Sale,PKR 3.4 lacs
Mitsubishi Lancer  1989  for Sale,PKR 4 lacs
Toyota Corolla  1986 GL Saloon for Sale,PKR 3 lacs
Suzuki Bolan  1992  for Sale,PKR 3.2 lacs
Suzuki Mehran  1992  for Sale,PKR 4 lacs
Daihatsu Charade  1986 CL for Sale,PKR 2.8 lacs
Suzuki Mehran  1989  for Sale,PKR 4 lacs
Suzuki Mehran  1993 VX (CNG) for Sale,PKR 4 lacs
Suzuki Mehran  1992 VX (CNG) for Sale,PKR 3.7 lacs
Nissan Sunny  1986  for Sale,PKR 3.9 lacs
Suzuki Mehran  1994 VX for Sale,PKR 3.52 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.25 lacs
Suzuki Mehran  1992  for Sale,PKR 4 lacs
Suzuki Mehran  1991 VX for Sale,PKR 2.75 lacs
Suzuki FX  1988 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  1994 VX for Sale,PKR 4 lacs
Suzuki Bolan  1981  for Sale,PKR 3.9 lacs
Suzuki Khyber  1994  for Sale,PKR 3.48 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.1 lacs
Toyota Corolla  1982  for Sale,PKR 3.7 lacs
Suzuki FX  1984 GA for Sale,PKR 2 lacs
Suzuki Margalla  1995 GL for Sale,PKR 3.2 lacs
Suzuki Khyber  1994  for Sale,PKR 3.25 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3.8 lacs
Suzuki FX  1983 GA for Sale,PKR 2.8 lacs
KIA Pride  1996  for Sale,PKR 3.95 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3.7 lacs
Daihatsu Charade  1986 CX for Sale,PKR 2 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2 lacs
Suzuki Bolan  1992  for Sale,PKR 4 lacs
Suzuki FX  1985 GA for Sale,PKR 2.4 lacs
Suzuki Mehran  1995 VX for Sale,PKR 3.6 lacs
Toyota Corolla  1983  for Sale,PKR 3.9 lacs
Suzuki Margalla  1994 GL for Sale,PKR 3.5 lacs
Suzuki Mehran  1990 VX for Sale,PKR 2.9 lacs
Toyota Corolla  1974  for Sale,PKR 2.5 lacs
Mitsubishi Lancer  1990  for Sale,PKR 3.65 lacs
Suzuki Carry  1982  for Sale,PKR 3.5 lacs
Toyota Corolla  1981  for Sale,PKR 2.8 lacs
